site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season
rachel-carson-reserve-rallus-longirostris,rachel-carson-reserve,Clapper Rail,Rallus longirostris,rallus-longirostris,5,5,5,4,5554
rachel-carson-reserve-rallus-limicola,rachel-carson-reserve,Virginia Rail,Rallus limicola,rallus-limicola,2,0,3,1,2031
rachel-carson-reserve-porzana-carolina,rachel-carson-reserve,Sora,Porzana carolina,porzana-carolina,3,0,3,1,3031
rachel-carson-reserve-fulica-americana,rachel-carson-reserve,American Coot,Fulica americana,fulica-americana,0,0,2,2,0022
rachel-carson-reserve-pluvialis-squatarola,rachel-carson-reserve,Black-bellied Plover,Pluvialis squatarola,pluvialis-squatarola,5,4,5,5,5455
rachel-carson-reserve-pluvialis-dominica,rachel-carson-reserve,American Golden-Plover,Pluvialis dominica,pluvialis-dominica,0,0,2,2,0022
rachel-carson-reserve-charadrius-wilsonia,rachel-carson-reserve,Wilson's Plover,Charadrius wilsonia,charadrius-wilsonia,4,5,3,2,4532
rachel-carson-reserve-charadrius-semipalmatus,rachel-carson-reserve,Semipalmated Plover,Charadrius semipalmatus,charadrius-semipalmatus,5,4,5,5,5455
rachel-carson-reserve-charadrius-melodus,rachel-carson-reserve,Piping Plover,Charadrius melodus,charadrius-melodus,3,2,4,4,3244
rachel-carson-reserve-charadrius-vociferus,rachel-carson-reserve,Killdeer,Charadrius vociferus,charadrius-vociferus,4,4,4,4,4444
rachel-carson-reserve-haematopus-palliatus,rachel-carson-reserve,American Oystercatcher,Haematopus palliatus,haematopus-palliatus,5,5,5,5,5555
rachel-carson-reserve-recurvirostra-americana,rachel-carson-reserve,American Avocet,Recurvirostra americana,recurvirostra-americana,0,0,1,1,0011
rachel-carson-reserve-tringa-melanoleuca,rachel-carson-reserve,Greater Yellowlegs,Tringa melanoleuca,tringa-melanoleuca,4,4,5,5,4455
rachel-carson-reserve-tringa-flavipes,rachel-carson-reserve,Lesser Yellowlegs,Tringa flavipes,tringa-flavipes,2,2,2,0,2220
rachel-carson-reserve-tringa-solitaria,rachel-carson-reserve,Solitary Sandpiper,Tringa solitaria,tringa-solitaria,2,2,2,0,2220
rachel-carson-reserve-tringa-semipalmata,rachel-carson-reserve,Willet,Tringa semipalmata,tringa-semipalmata,5,5,5,5,5555
rachel-carson-reserve-actitis-macularius,rachel-carson-reserve,Spotted Sandpiper,Actitis macularius,actitis-macularius,3,3,2,0,3320
rachel-carson-reserve-numenius-phaeopus,rachel-carson-reserve,Whimbrel,Numenius phaeopus,numenius-phaeopus,5,4,3,2,5432
rachel-carson-reserve-numenius-americanus,rachel-carson-reserve,Long-billed Curlew,Numenius americanus,numenius-americanus,1,1,1,1,1111
rachel-carson-reserve-limosa-fedoa,rachel-carson-reserve,Marbled Godwit,Limosa fedoa,limosa-fedoa,4,2,5,5,4255
rachel-carson-reserve-arenaria-interpres,rachel-carson-reserve,Ruddy Turnstone,Arenaria interpres,arenaria-interpres,5,4,5,5,5455
rachel-carson-reserve-calidris-canutus,rachel-carson-reserve,Red Knot,Calidris canutus,calidris-canutus,3,3,3,3,3333
rachel-carson-reserve-calidris-alba,rachel-carson-reserve,Sanderling,Calidris alba,calidris-alba,5,3,5,5,5355
rachel-carson-reserve-calidris-pusilla,rachel-carson-reserve,Semipalmated Sandpiper,Calidris pusilla,calidris-pusilla,4,3,3,0,4330
rachel-carson-reserve-calidris-mauri,rachel-carson-reserve,Western Sandpiper,Calidris mauri,calidris-mauri,4,4,5,5,4455
rachel-carson-reserve-calidris-minutilla,rachel-carson-reserve,Least Sandpiper,Calidris minutilla,calidris-minutilla,4,4,4,3,4443
rachel-carson-reserve-calidris-fuscicollis,rachel-carson-reserve,White-rumped Sandpiper,Calidris fuscicollis,calidris-fuscicollis,2,2,1,0,2210
rachel-carson-reserve-calidris-melanotos,rachel-carson-reserve,Pectoral Sandpiper,Calidris melanotos,calidris-melanotos,2,2,2,0,2220
rachel-carson-reserve-calidris-alpina,rachel-carson-reserve,Dunlin,Calidris alpina,calidris-alpina,5,2,4,5,5245
rachel-carson-reserve-calidris-himantopus,rachel-carson-reserve,Stilt Sandpiper,Calidris himantopus,calidris-himantopus,1,2,1,0,1210
